id,position_x,position_y,geom_y,geom_x
187,-0.675,-0.38971,-27,-9
188,-0.625,-0.38971,-25,-9
189,0.6,0.0866,24,2
190,0.65,0.0866,26,2
191,0.625,0.1299,25,3
192,0.575,0.1299,23,3
193,0.55,0.0866,22,2
194,0.575,0.0433,23,1
195,0.625,0.0433,25,1
196,-0.775,-0.38971,-31,-9
197,-0.725,-0.38971,-29,-9
198,-0.75,-0.34641,-30,-8
199,-0.8,-0.34641,-32,-8
200,-0.825,-0.38971,-33,-9
201,-0.8,-0.43301,-32,-10
202,-0.75,-0.43301,-30,-10
203,0.725,0.1299,29,3
204,0.775,0.1299,31,3
205,0.75,0.17321,30,4
206,0.7,0.17321,28,4
207,0.675,0.1299,27,3
208,0.7,0.0866,28,2
209,0.75,0.0866,30,2
210,-0.9,-0.43301,-36,-10
211,-0.85,-0.43301,-34,-10
212,-0.875,-0.38971,-35,-9
213,-0.925,-0.38971,-37,-9
214,-0.95,-0.43301,-38,-10
215,-0.925,-0.47631,-37,-11
216,-0.875,-0.47631,-35,-11
217,0.85,0.17321,34,4
218,0.9,0.17321,36,4
219,0.875,0.21651,35,5
220,0.825,0.21651,33,5
221,0.8,0.17321,32,4
222,0.825,0.1299,33,3
223,0.875,0.1299,35,3
224,-1.025,-0.47631,-41,-11
225,-0.975,-0.47631,-39,-11
226,-1,-0.43301,-40,-10
227,-1.05,-0.43301,-42,-10
228,-1.075,-0.47631,-43,-11
229,-1.05,-0.51962,-42,-12
230,-1,-0.51962,-40,-12
231,0.975,0.21651,39,5
232,1.025,0.21651,41,5
233,1,0.25981,40,6
234,0.95,0.25981,38,6
235,0.925,0.21651,37,5
236,0.95,0.17321,38,4
237,1,0.17321,40,4
238,1.1,0.25981,44,6
239,1.15,0.25981,46,6
240,1.125,0.30311,45,7
241,1.075,0.30311,43,7
242,1.05,0.25981,42,6
243,1.075,0.21651,43,5
244,1.125,0.21651,45,5
245,0.025,0.1299,1,3
246,0.075,0.1299,3,3
247,0.05,0.17321,2,4
248,0,0.17321,0,4
249,-0.025,0.1299,-1,3
250,0,0.0866,0,2
251,0.05,0.0866,2,2
252,-0.1,0.0866,-4,2
253,-0.05,0.0866,-2,2
254,-0.075,0.1299,-3,3
255,-0.125,0.1299,-5,3
256,-0.15,0.0866,-6,2
257,-0.125,0.0433,-5,1
258,-0.075,0.0433,-3,1
259,0.15,0.17321,6,4
260,0.2,0.17321,8,4
261,0.175,0.21651,7,5
262,0.125,0.21651,5,5
263,0.1,0.17321,4,4
264,0.125,0.1299,5,3
265,0.175,0.1299,7,3
266,-0.225,0.0433,-9,1
267,-0.175,0.0433,-7,1
268,-0.2,0.0866,-8,2
269,-0.25,0.0866,-10,2
270,-0.275,0.0433,-11,1
271,-0.25,0,-10,0
272,-0.2,0,-8,0
273,0.275,0.21651,11,5
274,0.325,0.21651,13,5
275,0.3,0.25981,12,6
276,0.25,0.25981,10,6
277,0.225,0.21651,9,5
278,0.25,0.17321,10,4
279,0.3,0.17321,12,4
280,-0.35,0,-14,0
281,-0.3,0,-12,0
282,-0.325,0.0433,-13,1
283,-0.375,0.0433,-15,1
284,-0.4,0,-16,0
285,-0.375,-0.0433,-15,-1
286,-0.325,-0.0433,-13,-1
287,0.4,0.25981,16,6
288,0.45,0.25981,18,6
289,0.425,0.30311,17,7
290,0.375,0.30311,15,7
291,0.35,0.25981,14,6
292,0.375,0.21651,15,5
293,0.425,0.21651,17,5
294,-0.475,-0.0433,-19,-1
295,-0.425,-0.0433,-17,-1
296,-0.45,0,-18,0
297,-0.5,0,-20,0
298,-0.525,-0.0433,-21,-1
299,-0.5,-0.0866,-20,-2
300,-0.45,-0.0866,-18,-2
301,0.525,0.30311,21,7
302,0.575,0.30311,23,7
303,0.55,0.34641,22,8
304,0.5,0.34641,20,8
305,0.475,0.30311,19,7
306,0.5,0.25981,20,6
307,0.55,0.25981,22,6
308,-0.6,-0.0866,-24,-2
309,-0.55,-0.0866,-22,-2
310,-0.575,-0.0433,-23,-1
311,-0.625,-0.0433,-25,-1
312,-0.65,-0.0866,-26,-2
313,-0.625,-0.1299,-25,-3
314,-0.575,-0.1299,-23,-3
315,0.65,0.34641,26,8
316,0.7,0.34641,28,8
317,0.675,0.38971,27,9
318,0.625,0.38971,25,9
319,0.6,0.34641,24,8
320,0.625,0.30311,25,7
321,0.675,0.30311,27,7
322,-0.725,-0.1299,-29,-3
323,-0.675,-0.1299,-27,-3
324,-0.7,-0.0866,-28,-2
325,-0.75,-0.0866,-30,-2
326,-0.775,-0.1299,-31,-3
327,-0.75,-0.17321,-30,-4
328,-0.7,-0.17321,-28,-4
329,0.775,0.38971,31,9
330,0.825,0.38971,33,9
331,0.8,0.43301,32,10
332,0.75,0.43301,30,10
333,0.725,0.38971,29,9
334,0.75,0.34641,30,8
335,0.8,0.34641,32,8
336,-0.85,-0.17321,-34,-4
337,-0.8,-0.17321,-32,-4
338,-0.825,-0.1299,-33,-3
339,-0.875,-0.1299,-35,-3
340,-0.9,-0.17321,-36,-4
341,-0.875,-0.21651,-35,-5
342,-0.825,-0.21651,-33,-5
343,0.9,0.43301,36,10
344,0.95,0.43301,38,10
345,0.925,0.47631,37,11
346,0.875,0.47631,35,11
347,0.85,0.43301,34,10
348,0.875,0.38971,35,9
349,0.925,0.38971,37,9
350,-0.975,-0.21651,-39,-5
351,-0.925,-0.21651,-37,-5
352,-0.95,-0.17321,-38,-4
353,-1,-0.17321,-40,-4
354,-1.025,-0.21651,-41,-5
355,-1,-0.25981,-40,-6
356,-0.95,-0.25981,-38,-6
357,1.025,0.47631,41,11
358,1.075,0.47631,43,11
359,1.05,0.51962,42,12
360,1,0.51962,40,12
361,0.975,0.47631,39,11
362,1,0.43301,40,10
363,1.05,0.43301,42,10
364,-1.1,-0.25981,-44,-6
365,-1.05,-0.25981,-42,-6
366,-1.075,-0.21651,-43,-5
367,-1.125,-0.21651,-45,-5
368,-1.15,-0.25981,-46,-6
369,-1.125,-0.30311,-45,-7
370,-1.075,-0.30311,-43,-7
371,-0.05,-0.25981,-2,-6
372,0,-0.25981,0,-6
373,-0.025,-0.21651,-1,-5
374,-0.075,-0.21651,-3,-5
375,-0.1,-0.25981,-4,-6
376,-0.075,-0.30311,-3,-7
377,-0.025,-0.30311,-1,-7
378,-0.175,-0.30311,-7,-7
379,-0.125,-0.30311,-5,-7
380,-0.15,-0.25981,-6,-6
381,-0.2,-0.25981,-8,-6
382,-0.225,-0.30311,-9,-7
383,-0.2,-0.34641,-8,-8
384,-0.15,-0.34641,-6,-8
385,0.075,-0.21651,3,-5
386,0.125,-0.21651,5,-5
387,0.1,-0.17321,4,-4
388,0.05,-0.17321,2,-4
389,0.025,-0.21651,1,-5
390,0.05,-0.25981,2,-6
391,0.1,-0.25981,4,-6
392,-0.3,-0.34641,-12,-8
393,-0.25,-0.34641,-10,-8
394,-0.275,-0.30311,-11,-7
395,-0.325,-0.30311,-13,-7
396,-0.35,-0.34641,-14,-8
397,-0.325,-0.38971,-13,-9
398,-0.275,-0.38971,-11,-9
399,0.2,-0.17321,8,-4
400,0.25,-0.17321,10,-4
401,0.225,-0.1299,9,-3
402,0.175,-0.1299,7,-3
403,0.15,-0.17321,6,-4
404,0.175,-0.21651,7,-5
405,0.225,-0.21651,9,-5
406,-0.425,-0.38971,-17,-9
407,-0.375,-0.38971,-15,-9
408,-0.4,-0.34641,-16,-8
409,-0.45,-0.34641,-18,-8
410,-0.475,-0.38971,-19,-9
411,-0.45,-0.43301,-18,-10
412,-0.4,-0.43301,-16,-10
413,0.325,-0.1299,13,-3
414,0.375,-0.1299,15,-3
415,0.35,-0.0866,14,-2
416,0.3,-0.0866,12,-2
417,0.275,-0.1299,11,-3
418,0.3,-0.17321,12,-4
419,0.35,-0.17321,14,-4
420,-0.55,-0.43301,-22,-10
421,-0.5,-0.43301,-20,-10
422,-0.525,-0.38971,-21,-9
423,-0.575,-0.38971,-23,-9
424,-0.6,-0.43301,-24,-10
425,-0.575,-0.47631,-23,-11
426,-0.525,-0.47631,-21,-11
427,0.45,-0.0866,18,-2
428,0.5,-0.0866,20,-2
429,0.475,-0.0433,19,-1
430,0.425,-0.0433,17,-1
431,0.4,-0.0866,16,-2
432,0.425,-0.1299,17,-3
433,0.475,-0.1299,19,-3
434,-0.675,-0.47631,-27,-11
435,-0.625,-0.47631,-25,-11
436,-0.65,-0.43301,-26,-10
437,-0.7,-0.43301,-28,-10
438,-0.725,-0.47631,-29,-11
439,-0.7,-0.51962,-28,-12
440,-0.65,-0.51962,-26,-12
441,0.575,-0.0433,23,-1
442,0.625,-0.0433,25,-1
443,0.6,0,24,0
444,0.55,0,22,0
445,0.525,-0.0433,21,-1
446,0.55,-0.0866,22,-2
447,0.6,-0.0866,24,-2
448,-0.8,-0.51962,-32,-12
449,-0.75,-0.51962,-30,-12
450,-0.775,-0.47631,-31,-11
451,-0.825,-0.47631,-33,-11
452,-0.85,-0.51962,-34,-12
453,-0.825,-0.56292,-33,-13
454,-0.775,-0.56292,-31,-13
455,0.7,0,28,0
456,0.75,0,30,0
457,0.725,0.0433,29,1
458,0.675,0.0433,27,1
459,0.65,0,26,0
460,0.675,-0.0433,27,-1
461,0.725,-0.0433,29,-1
462,-0.925,-0.56292,-37,-13
463,-0.875,-0.56292,-35,-13
464,-0.9,-0.51962,-36,-12
465,-0.95,-0.51962,-38,-12
466,-0.975,-0.56292,-39,-13
467,-0.95,-0.60622,-38,-14
468,-0.9,-0.60622,-36,-14
469,0.825,0.0433,33,1
470,0.875,0.0433,35,1
471,0.85,0.0866,34,2
472,0.8,0.0866,32,2
473,0.775,0.0433,31,1
474,0.8,0,32,0
475,0.85,0,34,0
476,0.95,0.0866,38,2
477,1,0.0866,40,2
478,0.975,0.1299,39,3
479,0.925,0.1299,37,3
480,0.9,0.0866,36,2
481,0.925,0.0433,37,1
482,0.975,0.0433,39,1
483,1.075,0.1299,43,3
484,1.125,0.1299,45,3
485,1.1,0.17321,44,4
486,1.05,0.17321,42,4
487,1.025,0.1299,41,3
488,1.05,0.0866,42,2
489,1.1,0.0866,44,2
490,0.05,0.25981,2,6
491,0.1,0.25981,4,6
492,0.075,0.30311,3,7
493,0.025,0.30311,1,7
494,0,0.25981,0,6
495,0.025,0.21651,1,5
496,0.075,0.21651,3,5
497,-0.075,0.21651,-3,5
498,-0.025,0.21651,-1,5
499,-0.05,0.25981,-2,6
500,-0.1,0.25981,-4,6
501,-0.125,0.21651,-5,5
502,-0.1,0.17321,-4,4
503,-0.05,0.17321,-2,4
504,0.175,0.30311,7,7
505,0.225,0.30311,9,7
506,0.2,0.34641,8,8
507,0.15,0.34641,6,8
508,0.125,0.30311,5,7
509,0.15,0.25981,6,6
510,0.2,0.25981,8,6
511,-0.2,0.17321,-8,4
512,-0.15,0.17321,-6,4
513,-0.175,0.21651,-7,5
514,-0.225,0.21651,-9,5
515,-0.25,0.17321,-10,4
516,-0.225,0.1299,-9,3
517,-0.175,0.1299,-7,3
518,0.3,0.34641,12,8
519,0.35,0.34641,14,8
520,0.325,0.38971,13,9
521,0.275,0.38971,11,9
522,0.25,0.34641,10,8
523,0.275,0.30311,11,7
524,0.325,0.30311,13,7
525,-0.325,0.1299,-13,3
526,-0.275,0.1299,-11,3
527,-0.3,0.17321,-12,4
528,-0.35,0.17321,-14,4
529,-0.375,0.1299,-15,3
530,-0.35,0.0866,-14,2
531,-0.3,0.0866,-12,2
532,0.425,0.38971,17,9
533,0.475,0.38971,19,9
534,0.45,0.43301,18,10
535,0.4,0.43301,16,10
536,0.375,0.38971,15,9
537,0.4,0.34641,16,8
538,0.45,0.34641,18,8
539,-0.45,0.0866,-18,2
540,-0.4,0.0866,-16,2
541,-0.425,0.1299,-17,3
542,-0.475,0.1299,-19,3
543,-0.5,0.0866,-20,2
544,-0.475,0.0433,-19,1
545,-0.425,0.0433,-17,1
546,0.55,0.43301,22,10
547,0.6,0.43301,24,10
548,0.575,0.47631,23,11
549,0.525,0.47631,21,11
550,0.5,0.43301,20,10
551,0.525,0.38971,21,9
552,0.575,0.38971,23,9
553,-0.575,0.0433,-23,1
554,-0.525,0.0433,-21,1
555,-0.55,0.0866,-22,2
556,-0.6,0.0866,-24,2
557,-0.625,0.0433,-25,1
558,-0.6,0,-24,0
559,-0.55,0,-22,0
560,0.675,0.47631,27,11
561,0.725,0.47631,29,11
562,0.7,0.51962,28,12
563,0.65,0.51962,26,12
564,0.625,0.47631,25,11
565,0.65,0.43301,26,10
566,0.7,0.43301,28,10
567,-0.7,0,-28,0
568,-0.65,0,-26,0
569,-0.675,0.0433,-27,1
570,-0.725,0.0433,-29,1
571,-0.75,0,-30,0
572,-0.725,-0.0433,-29,-1
573,-0.675,-0.0433,-27,-1
574,0.8,0.51962,32,12
575,0.85,0.51962,34,12
576,0.825,0.56292,33,13
577,0.775,0.56292,31,13
578,0.75,0.51962,30,12
579,0.775,0.47631,31,11
580,0.825,0.47631,33,11
581,-0.825,-0.0433,-33,-1
582,-0.775,-0.0433,-31,-1
583,-0.8,0,-32,0
584,-0.85,0,-34,0
585,-0.875,-0.0433,-35,-1
586,-0.85,-0.0866,-34,-2
587,-0.8,-0.0866,-32,-2
588,0.925,0.56292,37,13
589,0.975,0.56292,39,13
590,0.95,0.60622,38,14
591,0.9,0.60622,36,14
592,0.875,0.56292,35,13
593,0.9,0.51962,36,12
594,0.95,0.51962,38,12
595,-0.95,-0.0866,-38,-2
596,-0.9,-0.0866,-36,-2
597,-0.925,-0.0433,-37,-1
598,-0.975,-0.0433,-39,-1
599,-1,-0.0866,-40,-2
600,-0.975,-0.1299,-39,-3
601,-0.925,-0.1299,-37,-3
602,-1.075,-0.1299,-43,-3
603,-1.025,-0.1299,-41,-3
604,-1.05,-0.0866,-42,-2
605,-1.1,-0.0866,-44,-2
606,-1.125,-0.1299,-45,-3
607,-1.1,-0.17321,-44,-4
608,-1.05,-0.17321,-42,-4
609,-0.075,-0.38971,-3,-9
610,-0.025,-0.38971,-1,-9
611,-0.05,-0.34641,-2,-8
612,-0.1,-0.34641,-4,-8
613,-0.125,-0.38971,-5,-9
614,-0.1,-0.43301,-4,-10
615,-0.05,-0.43301,-2,-10
616,-0.2,-0.43301,-8,-10
617,-0.15,-0.43301,-6,-10
618,-0.175,-0.38971,-7,-9
619,-0.225,-0.38971,-9,-9
620,-0.25,-0.43301,-10,-10
621,-0.225,-0.47631,-9,-11
622,-0.175,-0.47631,-7,-11
623,0.05,-0.34641,2,-8
624,0.1,-0.34641,4,-8
625,0.075,-0.30311,3,-7
626,0.025,-0.30311,1,-7
627,0,-0.34641,0,-8
628,0.025,-0.38971,1,-9
629,0.075,-0.38971,3,-9
630,-0.325,-0.47631,-13,-11
631,-0.275,-0.47631,-11,-11
632,-0.3,-0.43301,-12,-10
633,-0.35,-0.43301,-14,-10
634,-0.375,-0.47631,-15,-11
635,-0.35,-0.51962,-14,-12
636,-0.3,-0.51962,-12,-12
637,0.175,-0.30311,7,-7
638,0.225,-0.30311,9,-7
639,0.2,-0.25981,8,-6
640,0.15,-0.25981,6,-6
641,0.125,-0.30311,5,-7
642,0.15,-0.34641,6,-8
643,0.2,-0.34641,8,-8
644,-0.45,-0.51962,-18,-12
645,-0.4,-0.51962,-16,-12
646,-0.425,-0.47631,-17,-11
647,-0.475,-0.47631,-19,-11
648,-0.5,-0.51962,-20,-12
649,-0.475,-0.56292,-19,-13
650,-0.425,-0.56292,-17,-13
651,0.3,-0.25981,12,-6
652,0.35,-0.25981,14,-6
653,0.325,-0.21651,13,-5
654,0.275,-0.21651,11,-5
655,0.25,-0.25981,10,-6
656,0.275,-0.30311,11,-7
657,0.325,-0.30311,13,-7
658,-0.575,-0.56292,-23,-13
659,-0.525,-0.56292,-21,-13
660,-0.55,-0.51962,-22,-12
661,-0.6,-0.51962,-24,-12
662,-0.625,-0.56292,-25,-13
663,-0.6,-0.60622,-24,-14
664,-0.55,-0.60622,-22,-14
665,0.425,-0.21651,17,-5
666,0.475,-0.21651,19,-5
667,0.45,-0.17321,18,-4
668,0.4,-0.17321,16,-4
669,0.375,-0.21651,15,-5
670,0.4,-0.25981,16,-6
671,0.45,-0.25981,18,-6
672,-0.7,-0.60622,-28,-14
673,-0.65,-0.60622,-26,-14
674,-0.675,-0.56292,-27,-13
675,-0.725,-0.56292,-29,-13
676,-0.75,-0.60622,-30,-14
677,-0.725,-0.64952,-29,-15
678,-0.675,-0.64952,-27,-15
679,0.55,-0.17321,22,-4
680,0.6,-0.17321,24,-4
681,0.575,-0.1299,23,-3
682,0.525,-0.1299,21,-3
683,0.5,-0.17321,20,-4
684,0.525,-0.21651,21,-5
685,0.575,-0.21651,23,-5
686,-0.825,-0.64952,-33,-15
687,-0.775,-0.64952,-31,-15
688,-0.8,-0.60622,-32,-14
689,-0.85,-0.60622,-34,-14
690,-0.875,-0.64952,-35,-15
691,-0.85,-0.69282,-34,-16
692,-0.8,-0.69282,-32,-16
693,0.675,-0.1299,27,-3
694,0.725,-0.1299,29,-3
695,0.7,-0.0866,28,-2
696,0.65,-0.0866,26,-2
697,0.625,-0.1299,25,-3
698,0.65,-0.17321,26,-4
699,0.7,-0.17321,28,-4
700,0.8,-0.0866,32,-2
701,0.85,-0.0866,34,-2
702,0.825,-0.0433,33,-1
703,0.775,-0.0433,31,-1
704,0.75,-0.0866,30,-2
705,0.775,-0.1299,31,-3
706,0.825,-0.1299,33,-3
707,0.925,-0.0433,37,-1
708,0.975,-0.0433,39,-1
709,0.95,0,38,0
710,0.9,0,36,0
711,0.875,-0.0433,35,-1
712,0.9,-0.0866,36,-2
713,0.95,-0.0866,38,-2
714,1.05,0,42,0
715,1.1,0,44,0
716,1.075,0.0433,43,1
717,1.025,0.0433,41,1
718,1,0,40,0
719,1.025,-0.0433,41,-1
720,1.075,-0.0433,43,-1
721,0.075,0.38971,3,9
722,0.125,0.38971,5,9
723,0.1,0.43301,4,10
724,0.05,0.43301,2,10
725,0.025,0.38971,1,9
726,0.05,0.34641,2,8
727,0.1,0.34641,4,8
728,-0.05,0.34641,-2,8
729,0,0.34641,0,8
730,-0.025,0.38971,-1,9
731,-0.075,0.38971,-3,9
732,-0.1,0.34641,-4,8
733,-0.075,0.30311,-3,7
734,-0.025,0.30311,-1,7
735,0.2,0.43301,8,10
736,0.25,0.43301,10,10
737,0.225,0.47631,9,11
738,0.175,0.47631,7,11
739,0.15,0.43301,6,10
740,0.175,0.38971,7,9
741,0.225,0.38971,9,9
742,-0.175,0.30311,-7,7
743,-0.125,0.30311,-5,7
744,-0.15,0.34641,-6,8
745,-0.2,0.34641,-8,8
746,-0.225,0.30311,-9,7
747,-0.2,0.25981,-8,6
748,-0.15,0.25981,-6,6
749,0.325,0.47631,13,11
750,0.375,0.47631,15,11
751,0.35,0.51962,14,12
752,0.3,0.51962,12,12
753,0.275,0.47631,11,11
754,0.3,0.43301,12,10
755,0.35,0.43301,14,10
756,-0.3,0.25981,-12,6
757,-0.25,0.25981,-10,6
758,-0.275,0.30311,-11,7
759,-0.325,0.30311,-13,7
760,-0.35,0.25981,-14,6
761,-0.325,0.21651,-13,5
762,-0.275,0.21651,-11,5
763,0.45,0.51962,18,12
764,0.5,0.51962,20,12
765,0.475,0.56292,19,13
766,0.425,0.56292,17,13
767,0.4,0.51962,16,12
768,0.425,0.47631,17,11
769,0.475,0.47631,19,11
770,-0.425,0.21651,-17,5
771,-0.375,0.21651,-15,5
772,-0.4,0.25981,-16,6
773,-0.45,0.25981,-18,6
774,-0.475,0.21651,-19,5
775,-0.45,0.17321,-18,4
776,-0.4,0.17321,-16,4
777,0.575,0.56292,23,13
778,0.625,0.56292,25,13
779,0.6,0.60622,24,14
780,0.55,0.60622,22,14
781,0.525,0.56292,21,13
782,0.55,0.51962,22,12
783,0.6,0.51962,24,12
784,-0.55,0.17321,-22,4
785,-0.5,0.17321,-20,4
786,-0.525,0.21651,-21,5
787,-0.575,0.21651,-23,5
788,-0.6,0.17321,-24,4
789,-0.575,0.1299,-23,3
790,-0.525,0.1299,-21,3
791,0.7,0.60622,28,14
792,0.75,0.60622,30,14
793,0.725,0.64952,29,15
794,0.675,0.64952,27,15
795,0.65,0.60622,26,14
796,0.675,0.56292,27,13
797,0.725,0.56292,29,13
798,-0.675,0.1299,-27,3
799,-0.625,0.1299,-25,3
800,-0.65,0.17321,-26,4
801,-0.7,0.17321,-28,4
802,-0.725,0.1299,-29,3
803,-0.7,0.0866,-28,2
804,-0.65,0.0866,-26,2
805,0.825,0.64952,33,15
806,0.875,0.64952,35,15
807,0.85,0.69282,34,16
808,0.8,0.69282,32,16
809,0.775,0.64952,31,15
810,0.8,0.60622,32,14
811,0.85,0.60622,34,14
812,-0.8,0.0866,-32,2
813,-0.75,0.0866,-30,2
814,-0.775,0.1299,-31,3
815,-0.825,0.1299,-33,3
816,-0.85,0.0866,-34,2
817,-0.825,0.0433,-33,1
818,-0.775,0.0433,-31,1
819,-0.925,0.0433,-37,1
820,-0.875,0.0433,-35,1
821,-0.9,0.0866,-36,2
822,-0.95,0.0866,-38,2
823,-0.975,0.0433,-39,1
824,-0.95,0,-38,0
825,-0.9,0,-36,0
826,-1.05,0,-42,0
827,-1,0,-40,0
828,-1.025,0.0433,-41,1
829,-1.075,0.0433,-43,1
830,-1.1,0,-44,0
831,-1.075,-0.0433,-43,-1
832,-1.025,-0.0433,-41,-1
833,-0.1,-0.51962,-4,-12
